Short form,Long form
AIV,avian influenza viruses
LPAI,low-pathogenicity avian influenza
SPF,specific pathogen free
EID50,embryo infectious dose 50%
pi,post-infection
PBS,phosphate buffered saline
qRRT-PCR,quantitative real time RT-PCR
TCID50,tissue culture infectious dose 50%
HA,hemagglutination assay
IHC,immunohistochemistry
HE,hematoxylin and eosin
FITC,fluorescein isothiocyanate
VHC,virus histochemistry
CFU,colony forming unit
HAU,hemagglutinin units
MAA,"
Maackia amurensis
"
SNA,"
Sambucus nigra
"
L,leucine
D,aspartate
E,glutamate
A,alanine
I,isoleucine
