Short form,Long form
ALT,alanine aminotransferase
BID,bis in die (twice a day)
CanL,canine leishmaniosis
DAT,direct agglutination test
ELISA,enzyme-linked immunosorbent assay
FCGS,feline chronic gingivostomatitis syndrome
FeL,feline leishmaniosis
FeLV,feline leukemia virus
FCoV,feline coronavirus
FIV,feline immunodeficiency virus
IFAT,immunofluorescence antibody test
IHAT,indirect haemagglutination test
IHC,immunohistochemistry
ILMA,immunolabelling with monoclonal antibodies
IRIS,international renal interest society
MLEE,multilocus isoenzyme electrophoresis
PF,pemphigus foliaceus
PCR,polymerase chain reaction
RFLP,restriction fragment length polymorphism
SID,semel in die (once a day)
WB,western blot
