Short form,Long form
AIM,Atg8-interacting motif
Atg8,autophagy-related 8
BLAST,Basic Local Alignment Search Tool
DENV,Dengue virus
HIV,human immunodeficiency virus
HSV,herpes simplex virus
ICP34.5,infected cell protein 34.5
ICTV,International Committee on Taxonomy of Viruses
LIR,LC3-interacting region
LIRCP,LIR-containing protein
LRS,LC3 recognition sequence
M2,matrix protein 2
MAP1LC3/LC3,microtubule-associated protein 1 light chain 3
Nef,Negative Regulatory Factor
NS,nonstructural protein
PSSM,position-specific scoring matrix
US11,unique short US11 glycoprotein
xLIR,extended LIR motif
