Short form,Long form
APACHE,Acute Physiology and Chronic Health Evaluation
ARDS,Acute respiratory distress syndrome
BAL,Bronchoalveolar lavage
CFU,Colony-forming unit
CMV,Cytomegalovirus
ECMO,Extracorporeal membrane oxygenation
ELSO,Extracorporeal Life Support Organization
FiO2,Inspiratory oxygen concentration
HLA-DR,Human leukocyte antigen–antigen D-related
HSV,Herpes simplex virus
ICU,Intensive care unit
Ig,Immunoglobulin
IVIG,Intravenous immunoglobulin
LOS,Length of stay
MRGN,Multi-resistant gram-negative bacteria
MRSA,Methicillin-resistant Staphylococcus aureus
PaO2,Arterial oxygen partial pressure
PCR,Polymerase chain reaction
SAPS,Simplified Acute Physiology Score
