Short form,Long form
APC,antigen-presenting cell
BBB,blood–brain barrier
CLN,cervical lymph node
CNS,central nervous system
DT,diphtheria toxin
DTR,diphtheria toxin receptor
EAE,experimental autoimmune encephalomyelitis
HSV,herpes simplex virus
LFB,Luxol fast blue
MHV,mouse hepatitis virus
MBP,myelin basic protein
MOG,myelin oligodendrocyte glycoprotein
MS,multiple sclerosis
SR,self-reactive
TMEV,Theiler’s murine encephalomyelitis virus
Tregs,regulatory T cells
Tr1,type 1 regulatory cells.
