Short form,Long form
aa,Amino acid
ARI,Acute respiratory infections
cDNA,Complementary DNA
F,Fusion glycoprotein
G,Attachment glycoprotein
GTR,General time-reversible
HMPV,Human metapneumovirus
L,and large polymerase protein
M,Matrix protein
M2,Transcription enhancer protein
ML,Maximum likelihood
N,Encoding nucleoprotein
NP-OP,Nasopharyngeal and oropharyngeal
ORFs,Open reading frames
P,Phosphoprotein
rRT-PCR,Reverse transcription PCR
RSV,Respiratory syncytial virus
SH,Small hydrophobic protein
Tm,Temperature
WGS,Whole genome sequencing
