Short form,Long form
BoD,burden of disease
CO,carbon monoxide
CO2,carbon dioxide
CV,cardiovascular
DALY,disability adjusted life years
DW,disability weight
EBD,environmental burden of disease
EU,European Union
IAQ,indoor air quality
L,duration of the disease
lps pp,liters per second per person
PAF,population attributable fraction
PAQ,perceived air quality
PM2.5,particulate matter sized < 2.5 mm
RR,relative risk
SARS,severe acute respiratory syndrome
SBS,sick building syndrome
SHS,second hand smoke
VOC,volatile organic compounds
WHO,World Health Organization
YLD,years lived with a disability
YLL,years of life lost
