Short form,Long form
ARI,acute respiratory infection
CAP,community-acquired pneumonia
CI,confidence interval
CRP,C-reactive protein
hMPV,human metapneumovirus
IF,immunofluorescence
InfA,influenza virus type A
InfB,influenza virus type B
IQR,inter-quartile range
LCI,lower chest wall indrawing
LRTI,lower respiratory tract infection
NPA,nasopharyngeal aspirate
OPD,outpatient department
PIV1,parainfluenza virus type 1
PIV2,parainfluenza virus type 2
PIV3,parainfluenza virus type 3
RR,respiratory rate
RSV,respiratory syncytial virus
SpO2,oxygen saturation.
