Short form,Long form
FACS,fluorescence-ac- tivated cell sorter
FACS,fluorescence-ac- tivated cell sorter
FACS,fluorescence-ac- tivated cell sorter
FACS,fluorescence-ac- tivated cell sorter
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
F,fusion
RV,rotavirus
DAPI,"4=,6-diamidino-2-phenylindole"
