Short form,Long form
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
IVIG,intravenous immunoglobulin
IVIG,intravenous immunoglobulin
IVIG,intravenous immunoglobulin
IVIG,intravenous immunoglobulin
IVIG,intravenous immunoglobulin
HHV-6,herpesvirus-6
HHV-6,herpesvirus-6
BLK,lymphocyte kinase
IL 1,Interluekin-1
NMDAR,anti-N-methyl D-aspartate receptors
IG,Immunoglobulin
IG,Immunoglobulin
ICI,inclusions
ICI,inclusions
ICI,inclusions
ICI,inclusions
VLPs,"virus-like particles"""
VLPs,"virus-like particles"""
ALIS,aggresome-like induced structures
PBs,plasmablasts
PBs,plasmablasts
PBs,plasmablasts
PBs,plasmablasts
PBs,plasmablasts
PBs,plasmablasts
PBs,plasmablasts
PBs,plasmablasts
PBs,plasmablasts
CRP,c-reactive protein
R/S,replacement to silent nucleotide mutation
CDRs,complementarity determining regions
