Short form,Long form
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
FeL,feline leishmaniosis
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
IHC,immunohistochemistry
IHC,immunohistochemistry
IHC,immunohistochemistry
CanL,Canine leishmaniosis
CanL,Canine leishmaniosis
CanL,Canine leishmaniosis
CanL,Canine leishmaniosis
CanL,Canine leishmaniosis
RFLP,restriction fragment length polymorphism
FeLV,feline leukemia virus
FeLV,feline leukemia virus
FeLV,feline leukemia virus
FeLV,feline leukemia virus
FeLV,feline leukemia virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FIV,feline immunodeficiency virus
FCoV,feline coronavirus
FCoV,feline coronavirus
FCoV,feline coronavirus
PF,pemphigus foliaceus
PF,pemphigus foliaceus
PF,pemphigus foliaceus
PF,pemphigus foliaceus
PF,pemphigus foliaceus
SCC,squamous cell carcinoma
SCC,squamous cell carcinoma
FCGS,feline chronic gingivostomatitis syndrome
FCGS,feline chronic gingivostomatitis syndrome
IFAT,immunoflurescence antibody test
IFAT,immunoflurescence antibody test
IFAT,immunoflurescence antibody test
IFAT,immunoflurescence antibody test
ELISA,enzyme-linked immunosorbent assays
ELISA,enzyme-linked immunosorbent assays
ELISA,enzyme-linked immunosorbent assays
DAT,direct agglutination test
DAT,direct agglutination test
WB,western blot
WB,western blot
IRIS,International Renal Interest Society
