Short form,Long form
EEA,Environment Agency
BoD,burden of disease
BoD,burden of disease
BoD,burden of disease
CO,carbon oxide
CO,carbon oxide
CO,carbon oxide
CO,carbon oxide
CO,carbon oxide
CO,carbon oxide
PAF,population attributable fraction
PAF,population attributable fraction
PAF,population attributable fraction
DALY,disability adjusted life years
DALY,disability adjusted life years
DALY,disability adjusted life years
DALY,disability adjusted life years
EBD,environmental burden of disease
VOC,volatile organic compounds
VOC,volatile organic compounds
VOC,volatile organic compounds
VOC,volatile organic compounds
VOC,volatile organic compounds
25%,"25%), Sweden"
25%,"25%), Sweden"
25%,"25%), Sweden"
25%,"25%), Sweden"
