Short form,Long form
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIR,LC3-interacting region
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
LIRCPs,motif-containing proteins
ROS,reactive oxygen species
ICTV,International Committee on Taxonomy of Viruses
ICTV,International Committee on Taxonomy of Viruses
ICTV,International Committee on Taxonomy of Viruses
ICTV,International Committee on Taxonomy of Viruses
ICTV,International Committee on Taxonomy of Viruses
ICTV,International Committee on Taxonomy of Viruses
ANCHOR,and the presence of the motif in an intrinsically disordered region
LIRCP,LIR-containing protein
PSI,Position-Specific Iterative
Vif,Viral infectivity factor
M2,matrix protein 2
M2,matrix protein 2
M2,matrix protein 2
M2,matrix protein 2
M2,matrix protein 2
HSV,herpesvirus
DENV-2,virus type 2
DENV-2,virus type 2
DENV-2,virus type 2
DENV-2,virus type 2
DENV-2,virus type 2
