Short form,Long form
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
Adv,adenovirus-positive
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
HRCT,high resolution computed tomography
PSI,pneumonia severity index
CRP,C-reactive protein
cAdv,combined Adv
cAdv,combined Adv
OAIP,only Adv identified pathogen
OAIP,only Adv identified pathogen
IVIG,intravenous immunoglobulin
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
a,admission day
FRI,febrile respiratory illness
FRI,febrile respiratory illness
