Short form,Long form
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
CNP,Carbonaceous nanoparticles
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
AM,alveolar macrophages
