Short form,Long form
ARDS,Acute respiratory distress syndrome
ARDS,Acute respiratory distress syndrome
ARDS,Acute respiratory distress syndrome
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
PICU,paediatric intensive care unit
ARI,acute respiratory infection
ARI,acute respiratory infection
ARI,acute respiratory infection
ARI,acute respiratory infection
ARI,acute respiratory infection
RSV,respiratory syncytial virus
PIV,parainfluenza virus
CoV,coronavirus
hMPV,metapneumovirus
hBoV,bocavirus
AdV,adenovirus
RhV,rhinovirus
EV,enterovirus
PV,parechovirus
8.5 %,"8.5 %), and immunocompromising conditions"
8.5 %,"8.5 %), and immunocompromising conditions"
2010/11,2009/10) and 11 %
2010/11,2009/10) and 11 %
2010/11,2009/10) and 11 %
2010/11,2009/10) and 11 %
LAIV,live attenuated influenza vaccine
LAIV,live attenuated influenza vaccine
