Short form,Long form
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
ICS,inhaled corticosteroid
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
BAL,bronchoalveolar lavage
non-haemolytic H. haemolyticus,haemolyticus
non-haemolytic H. haemolyticus,haemolyticus
non-haemolytic H. haemolyticus,haemolyticus
PBS-BSA,phosphate-buffered saline with 1 % bovine serum albumin
GERD,gastro-oesophageal reflux disease
GERD,gastro-oesophageal reflux disease
GERD,gastro-oesophageal reflux disease
GERD,gastro-oesophageal reflux disease
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
H. influenzae,influenzae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
S. pneumoniae,pneumoniae
M. catarrhalis,catarrhalis
M. catarrhalis,catarrhalis
M. catarrhalis,catarrhalis
M. catarrhalis,catarrhalis
M. catarrhalis,catarrhalis
M. catarrhalis,catarrhalis
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
MIC ≤ 1μg/ml,1μg/ml) and cefuroxime
MIC ≤ 1μg/ml,1μg/ml) and cefuroxime
TCC,Total cell count
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
NTHi,nontypeable H. influenzae
mPCR,multiplex-PCR
