Short form,Long form
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
RTIs,Respiratory tract infections
URTIs,RTIs
URTIs,RTIs
URTIs,RTIs
URTIs,RTIs
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
BMI,body mass index
CAP,community acquired pneumonia
CAP,community acquired pneumonia
AWIS,airway infection susceptibility
AWIS,airway infection susceptibility
CIs,confidence intervals
CIs,confidence intervals
COPD,chronic obstructive pulmonary disease
COPD,chronic obstructive pulmonary disease
COPD,chronic obstructive pulmonary disease
HRs,hazard ratios
ROS,reactive oxygen species
ROS,reactive oxygen species
