Short form,Long form
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
BCG,Bacillus Calmette-Guérin
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
KD,Kawasaki disease
ELISA,enzyme linked immuno-sorbent assay
HSP,heat shock proteins
HSP,heat shock proteins
HSP,heat shock proteins
HSP,heat shock proteins
HSP,heat shock proteins
HSP,heat shock proteins
HSP,heat shock proteins
HSP,heat shock proteins
HSP,heat shock proteins
