Short form,Long form
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
CaKoV,Kobuvirus
L,leader protein
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
100,sub-cluster from (100) 100
> 5 years,years) (n = 98) and older
BMCMC,Bayesian Markov chain Monte Carlo
