Short form,Long form
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
CAP,community-acquired pneumonia
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
NPA,nasopharyngeal aspirates
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
RSV,respiratory syncytial virus
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfA,influenza virus type A
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
InfB,InfA) and B
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
hMPV,metapneumovirus
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
PCR,polymerase chain reaction
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
LRTI,lower respiratory tract infection
PIV,parainfluenza virus
PIV,parainfluenza virus
PIV,parainfluenza virus
PIV,parainfluenza virus
OPD,outpatient department
LCI,lower chest wall indrawing
LCI,lower chest wall indrawing
LCI,lower chest wall indrawing
WHO,World Health Organization
WHO,World Health Organization
WHO,World Health Organization
WHO,World Health Organization
ARI,acute respiratory infection
ARI,acute respiratory infection
ARI,acute respiratory infection
RR,respiratory rate
CRP,C-reactive protein
CRP,C-reactive protein
OD 450,optical density at 450 nm
OD 450,optical density at 450 nm
OD 450,optical density at 450 nm
OD 450,optical density at 450 nm
OD 450,optical density at 450 nm
OD 450,optical density at 450 nm
CI,confidence intervals
IF,immunofluorescence
IF,immunofluorescence
